POprc559_1:1	okay	RE(RE)	okay
POprc559_1:2	ladies	NNS(NNS)	lady
POprc559_1:3	and	CC(CC)	and
POprc559_1:4	gentlemen	NNS(NNS)	gentleman
POprc559_1:5	thank	FI(FI)	thank
POprc559_1:6	you	FI(FI)	you
POprc559_1:7	for	IN(IN)	for
POprc559_1:8	coming	VVG(VVG)	come
POprc559_1:9	to	IN(IN)	to
POprc559_1:10	this	DT(DT)	this
POprc559_1:11	press	NN(NN)	press
POprc559_1:12	conference	NN(NN)	conference
POprc559_1:13	after	IN(IN)	after
POprc559_1:14	_0	PA(PA)	
POprc559_1:15	the	DT(DT)	the
POprc559_1:16	ministerial	JJ(JJ)	ministerial
POprc559_1:17	meeting	VVG(NN)	meet/meeting
POprc559_1:18	of	IN(IN)	of
POprc559_1:19	the	DT(DT)	the
POprc559_1:20	_0	PA(PA)	
POprc559_1:21	s_ec	NP(NP)	s_ec
POprc559_1:22	norway	NP(NP)	norway
POprc559_1:23	dialogue	NN(NN)	dialogue
POprc559_1:24	_1	PA(PA)	
POprc559_1:25	we	PP(PP)	we
POprc559_1:26	have	VHP(VHP)	have
POprc559_1:27	minister	NN(NN)	minister
POprc559_1:28	enoksen	NP(NP)	enoksen
POprc559_1:29	and	CC(CC)	and
POprc559_1:30	commissioner	NN(NN)	commissioner
POprc559_1:31	piebalgs	NP(NP)	piebalgs
POprc559_1:32	_1	PA(PA)	
POprc559_1:33	er	UH(UH)	er
POprc559_1:34	commissioner	NN(NN)	commissioner
POprc559_1:35	_0	PA(PA)	
POprc559_1:36	the	DT(DT)	the
POprc559_1:37	floor	NN(NN)	floor
POprc559_1:38	_0	PA(PA)	
POprc559_1:39	is	VBZ(VBZ)	be
POprc559_1:40	yours	PP(PP)	you
POprc559_1:41	_2	PA(PA)	

POprc559_2:1	first	RB(RB)	first
POprc559_2:2	of	IN(IN)	of
POprc559_2:3	all	DT(DT)	all
POprc559_2:4	_0	PA(PA)	
POprc559_2:5	thank	FI(FI)	thank
POprc559_2:6	you	FI(FI)	you
POprc559_2:7	_0	PA(PA)	
POprc559_2:8	for	IN(IN)	for
POprc559_2:9	your	PP$(PP$)	you
POprc559_2:10	_0	PA(PA)	
POprc559_2:11	patience	NN(NN)	patience
POprc559_2:12	and	CC(CC)	and
POprc559_2:13	coming	VVG(NN)	come/coming
POprc559_2:14	tonigh-	XX(XX)	
POprc559_2:15	er	UH(UH)	er
POprc559_2:16	today	RB(RB)	today
POprc559_2:17	it	PP(PP)	it
POprc559_2:18	's	VBS(VBS)	be
POprc559_2:19	it	PP(PP)	it
POprc559_2:20	's	VBS(VBS)	be
POprc559_2:21	friday	NP(NP)	friday
POprc559_2:22	afternoon	NN(NN)	afternoon
POprc559_2:23	i	PP(PP)	i
POprc559_2:24	understand	VVP(VVP)	understand
POprc559_2:25	that	IN(IN)	that
POprc559_2:26	it	PP(PP)	it
POprc559_2:27	is	VBZ(VBZ)	be
POprc559_2:28	not	RB(RB)	not
POprc559_2:29	_0	PA(PA)	
POprc559_2:30	the	DT(DT)	the
POprc559_2:31	_1	PA(PA)	
POprc559_2:32	most	RBS(RBS)	most
POprc559_2:33	interesting	JJ(JJ)	interesting
POprc559_2:34	time	NN(NN)	time
POprc559_2:35	to	TO(TO)	to
POprc559_2:36	come	VV(VV)	come
POprc559_2:37	to	IN(IN)	to
POprc559_2:38	the	DT(DT)	the
POprc559_2:39	press	NN(NN)	press
POprc559_2:40	conference	NN(NN)	conference
POprc559_2:41	_0	PA(PA)	
POprc559_2:42	but	CC(CC)	but
POprc559_2:43	we	PP(PP)	we
POprc559_2:44	have	VHP(VHP)	have
POprc559_2:45	today	RB(RB)	today
POprc559_2:46	very	RB(RB)	very
POprc559_2:47	important	JJ(JJ)	important
POprc559_2:48	er	UH(UH)	er
POprc559_2:49	dialogue	NN(NN)	dialogue
POprc559_2:50	er	UH(UH)	er
POprc559_2:51	with	IN(IN)	with
POprc559_2:52	norway	NP(NP)	norway
POprc559_2:53	_1	PA(PA)	
POprc559_2:54	er	UH(UH)	er
POprc559_2:55	we	PP(PP)	we
POprc559_2:56	all	DT(DT)	all
POprc559_2:57	of	IN(IN)	of
POprc559_2:58	us	PP(PP)	we
POprc559_2:59	usual	JJ(RB)	usual
POprc559_2:60	assume	VVP(VVP)	assume
POprc559_2:61	_0	PA(PA)	
POprc559_2:62	that	IN(IN)	that
POprc559_2:63	norway	NP(NP)	norway
POprc559_2:64	is	VBZ(VBZ)	be
POprc559_2:65	a	DT(DT)	a
POprc559_2:66	_0	PA(PA)	
POprc559_2:67	very	RB(RB)	very
POprc559_2:68	reliable	JJ(JJ)	reliable
POprc559_2:69	supplier	NN(NN)	supplier
POprc559_2:70	and	CC(CC)	and
POprc559_2:71	that	IN(IN)	that
