PRcon535_1:1	these	DT(DT)	these
PRcon535_1:2	x	UNI(UNI)	
PRcon535_1:3	start	VVP(VVP)	start
PRcon535_1:4	without	IN(IN)	without
PRcon535_1:5	xx	UNI(UNI)	
PRcon535_1:6	_0	PA(PA)	

PRcon535_2:1	mhm	RE(RE)	mhm

PRcon535_3:1	smooth-	XX(XX)	
PRcon535_3:2	_0	PA(PA)	
PRcon535_3:3	-ness	XX(XX)	
PRcon535_3:4	conditions	NNS(NNS)	condition
PRcon535_3:5	just	RB(RB)	just
PRcon535_3:6	to	IN(IN)	to
PRcon535_3:7	the	DT(DT)	the
PRcon535_3:8	_0	PA(PA)	

PRcon535_4:1	mhm	RE(RE)	mhm

PRcon535_5:1	and	CC(CC)	and
PRcon535_5:2	we	PP(PP)	we
PRcon535_5:3	analyze	VVP(VVP)	analyze
PRcon535_5:4	_0	PA(PA)	
PRcon535_5:5	the	DT(DT)	the
PRcon535_5:6	different	JJ(JJ)	different
PRcon535_5:7	notions	NNS(NNS)	notion
PRcon535_5:8	you	PP(PP)	you
PRcon535_5:9	remember	VVP(VVP)	remember
PRcon535_5:10	there	EX(EX)	there
PRcon535_5:11	are	VBP(VBP)	be
PRcon535_5:12	there	EX(EX)	there
PRcon535_5:13	are	VBP(VBP)	be

PRcon535_6:1	mhm	RE(RE)	mhm
PRcon535_6:2	linear	JJ(JJ)	linear
PRcon535_6:3	convexity	NN(NN)	convexity
PRcon535_6:4	and	CC(CC)	and

PRcon535_7:1	linear	JJ(JJ)	linear
PRcon535_7:2	convexity	NN(NN)	convexity
PRcon535_7:3	p_pseudo-convexity	PVC(NN)	
PRcon535_7:4	and	CC(CC)	and
PRcon535_7:5	the	DT(DT)	the
PRcon535_7:6	weak	JJ(JJ)	weak
PRcon535_7:7	conditions	NNS(NNS)	condition
PRcon535_7:8	on	IN(IN)	on
PRcon535_7:9	the	DT(DT)	the
PRcon535_7:10	boundary	NN(NN)	boundary
PRcon535_7:11	yeah	RE(RE)	yeah
PRcon535_7:12	hh	BR(BR)	

PRcon535_8:1	yeah	RE(RE)	yeah

PRcon535_9:1	mhm	RE(RE)	mhm

PRcon535_10:1	w-	XX(XX)	
PRcon535_10:2	w-	XX(XX)	
PRcon535_10:3	we	PP(PP)	we
PRcon535_10:4	analyzed	VVD(VVD)	analyze
PRcon535_10:5	all	DT(DT)	all
PRcon535_10:6	of	IN(IN)	of
PRcon535_10:7	them	PP(PP)	they

PRcon535_11:1	mhm	RE(RE)	mhm
PRcon535_11:2	_0	PA(PA)	
PRcon535_11:3	have	VHP(VHP)	have
PRcon535_11:4	you	PP(PP)	you
PRcon535_11:5	have	VHP(VHP)	have
PRcon535_11:6	you	PP(PP)	you
PRcon535_11:7	s-	XX(XX)	
PRcon535_11:8	studied	VVN(VVN)	study
PRcon535_11:9	notions	NNS(NNS)	notion
PRcon535_11:10	of	IN(IN)	of
PRcon535_11:11	say	VV(VV)	say
PRcon535_11:12	strict	JJ(JJ)	strict
PRcon535_11:13	p_pseudo-convexity	PVC(NN)	
PRcon535_11:14	under	IN(IN)	under
PRcon535_11:15	the	DT(DT)	the
PRcon535_11:16	lack	NN(NN)	lack
PRcon535_11:17	of	IN(IN)	of
PRcon535_11:18	smoothness	NN(NN)	smoothness
PRcon535_11:19	hhh	BR(BR)	
PRcon535_11:20	_1	PA(PA)	
PRcon535_11:21	for	IN(IN)	for
PRcon535_11:22	say	VV(VV)	say
PRcon535_11:23	lipschitz	NPS(NPS)	lipschitz
PRcon535_11:24	domains	NPS(NPS)	domain
PRcon535_11:25	what	WP(WP)	what
PRcon535_11:26	i	PP(PP)	i
PRcon535_11:27	'm	VBP(VBP)	be
PRcon535_11:28	what	WP(WP)	what
PRcon535_11:29	i	PP(PP)	i
PRcon535_11:30	'm	VBP(VBP)	be
PRcon535_11:31	trying	VVG(VVG)	try
PRcon535_11:32	to	TO(TO)	to
PRcon535_11:33	say	VV(VV)	say
PRcon535_11:34	is	VBZ(VBZ)	be
PRcon535_11:35	erm	UH(UH)	erm
PRcon535_11:36	_1	PA(PA)	
PRcon535_11:37	for	IN(IN)	for
PRcon535_11:38	smooth	JJ(JJ)	smooth
PRcon535_11:39	domains	NNS(NNS)	domain
PRcon535_11:40	you	PP(PP)	you
PRcon535_11:41	have	VHP(VHP)	have
PRcon535_11:42	a	DT(DT)	a
PRcon535_11:43	lot	NN(NN)	lot
PRcon535_11:44	of	IN(IN)	of
PRcon535_11:45	different	JJ(JJ)	different
PRcon535_11:46	notions	NNS(NNS)	notion
PRcon535_11:47	definitions	NNS(NNS)	definition
PRcon535_11:48	for	IN(IN)	for
PRcon535_11:49	strict	JJ(JJ)	strict
PRcon535_11:50	p_pseudo-convexity	PVC(NN)	

PRcon535_12:1	yeah	RE(RE)	yeah
PRcon535_12:2	yeah	RE(RE)	yeah

PRcon535_13:1	and	CC(CC)	and
PRcon535_13:2	they	PP(PP)	they
PRcon535_13:3	're	VBP(VBP)	be
PRcon535_13:4	all	DT(DT)	all
PRcon535_13:5	equivalent	JJ(JJ)	equivalent
PRcon535_13:6	_0	PA(PA)	

PRcon535_14:1	yah	RE(RE)	yah

PRcon535_15:1	whereas	IN(IN)	whereas
PRcon535_15:2	for	IN(IN)	for
PRcon535_15:3	lipschitz	NPS(NPS)	lipschitz
PRcon535_15:4	domains	NPS(NPS)	domain
PRcon535_15:5	it	PP(PP)	it
PRcon535_15:6	's	VBS(VBS)	be
PRcon535_15:7	not	RB(RB)	not
PRcon535_15:8	at	RB(RB)	at
PRcon535_15:9	all	RB(RB)	all
PRcon535_15:10	clear	JJ(JJ)	clear
PRcon535_15:11	i	PP(DM)	i
PRcon535_15:12	mean	VVP(DM)	mean
PRcon535_15:13	some	DT(DT)	some
PRcon535_15:14	of	IN(IN)	of
PRcon535_15:15	them	PP(PP)	they
PRcon535_15:16	will	MD(MD)	will
PRcon535_15:17	just	RB(RB)	just
PRcon535_15:18	not	RB(RB)	not
PRcon535_15:19	be	VB(VB)	be
PRcon535_15:20	true	JJ(JJ)	true
PRcon535_15:21	and	CC(CC)	and
PRcon535_15:22	others	NNS(NNS)	other
PRcon535_15:23	_3	PA(PA)	

PRcon535_16:1	well	DM(DM)	well
PRcon535_16:2	well	DM(DM)	well
PRcon535_16:3	you	PP(PP)	you
PRcon535_16:4	had	VHD(VHD)	have
PRcon535_16:5	well	DM(DM)	well
PRcon535_16:6	_2	PA(PA)	
PRcon535_16:7	er	UH(UH)	er
PRcon535_16:8	well	DM(DM)	well
PRcon535_16:9	give	VV(VV)	give
PRcon535_16:10	me	PP(PP)	i
PRcon535_16:11	an	DT(DT)	a
PRcon535_16:12	example	NN(NN)	example
PRcon535_16:13	of	IN(IN)	of
PRcon535_16:14	of	IN(IN)	of
PRcon535_16:15	a	DT(DT)	a
PRcon535_16:16	condition	NN(NN)	condition
PRcon535_16:17	_0	PA(PA)	

PRcon535_17:1	for	RB(RB)	for
PRcon535_17:2	instance	RB(RB)	instance
PRcon535_17:3	you	PP(PP)	you
PRcon535_17:4	may	MD(MD)	may
PRcon535_17:5	ask	VV(VV)	ask
PRcon535_17:6	er	UH(UH)	er
PRcon535_17:7	_0	PA(PA)	
PRcon535_17:8	for	IN(IN)	for
PRcon535_17:9	lipschitz	NP(NP)	lipschitz
PRcon535_17:10	domain	NP(NP)	domain
PRcon535_17:11	_1	PA(PA)	
PRcon535_17:12	the	DT(DT)	the
PRcon535_17:13	existence	NN(NN)	existence
PRcon535_17:14	of	IN(IN)	of
PRcon535_17:15	is	VBZ(VBZ)	be
PRcon535_17:16	_0	PA(PA)	
PRcon535_17:17	strictly	RB(RB)	strictly
PRcon535_17:18	p_plurisubharmonic	PVC(JJ)	
PRcon535_17:19	exhaustion	NN(NN)	exhaustion
PRcon535_17:20	_0	PA(PA)	
PRcon535_17:21	a	DT(DT)	a
PRcon535_17:22	p_plurisubharmonic	PVC(JJ)	
PRcon535_17:23	exhaustion	NN(NN)	exhaustion
PRcon535_17:24	such	DT(DT)	such
PRcon535_17:25	that	IN(IN)	that
PRcon535_17:26	_0	PA(PA)	

PRcon535_18:1	yah	RE(RE)	yah
PRcon535_18:2	yah	RE(RE)	yah

PRcon535_19:1	that	IN(IN)	that
PRcon535_19:2	exhaustion	NN(NN)	exhaustion
PRcon535_19:3	plus	IN(IN)	plus
PRcon535_19:4	epsilon	NN(NN)	epsilon
PRcon535_19:5	absolute	JJ(JJ)	absolute
PRcon535_19:6	value	NN(NN)	value
PRcon535_19:7	of	IN(IN)	of
PRcon535_19:8	s_c	SYM(SYM)	s_c
PRcon535_19:9	square	NN(NN)	square
PRcon535_19:10	_0	PA(PA)	
PRcon535_19:11	is	VBZ(VBZ)	be
PRcon535_19:12	also	RB(RB)	also
PRcon535_19:13	an	DT(DT)	a
PRcon535_19:14	exhaustion	NN(NN)	exhaustion
PRcon535_19:15	for	IN(IN)	for
PRcon535_19:16	small	JJ(JJ)	small
PRcon535_19:17	accxx	UNI(UNI)	
PRcon535_19:18	_0	PA(PA)	

PRcon535_20:1	yah	RE(RE)	yah
PRcon535_20:2	yah	RE(RE)	yah
PRcon535_20:3	_0	PA(PA)	
PRcon535_20:4	yah	RE(RE)	yah
PRcon535_20:5	okay	RE(RE)	okay
PRcon535_20:6	yah	RE(RE)	yah
PRcon535_20:7	that	DT(DT)	that
PRcon535_20:8	kind	NN(NN)	kind
PRcon535_20:9	of	IN(IN)	of
PRcon535_20:10	regularity	NN(NN)	regularity
PRcon535_20:11	_0	PA(PA)	

PRcon535_21:1	or	CC(CC)	or

PRcon535_22:1	mhm	RE(RE)	mhm

PRcon535_23:1	but	CC(CC)	but
PRcon535_23:2	the	DT(DT)	the
PRcon535_23:3	one	NN(NN)	one
PRcon535_23:4	i	PP(PP)	i
PRcon535_23:5	'm	VBP(VBP)	be
PRcon535_23:6	interested	JJ(JJ)	interested
PRcon535_23:7	in	IN(IN)	in
PRcon535_23:8	is	VBZ(VBZ)	be
PRcon535_23:9	_1	PA(PA)	
PRcon535_23:10	i	PP(PP)	i
PRcon535_23:11	'm	VBP(VBP)	be
PRcon535_23:12	taking	VVG(VVG)	take
PRcon535_23:13	your	PP$(PP$)	you
PRcon535_23:14	advice	NN(NN)	advice
PRcon535_23:15	and	CC(CC)	and
PRcon535_23:16	talking	VVG(VVG)	talk
PRcon535_23:17	to	IN(IN)	to
PRcon535_23:18	the	DT(DT)	the
PRcon535_23:19	_0	PA(PA)	
PRcon535_23:20	nordic	JJ(JJ)	nordic
PRcon535_23:21	people	NNS(NNS)	people
PRcon535_23:22	_0	PA(PA)	
PRcon535_23:23	@@	LA(LA)	
PRcon535_23:24	@@@	LA(LA)	
PRcon535_23:25	@	LA(LA)	
PRcon535_23:26	@@@@	LA(LA)	

PRcon535_24:1	ah	UH(UH)	ah
PRcon535_24:2	and	CC(CC)	and
PRcon535_24:3	yes	RE(RE)	yes

PRcon535_25:1	and	CC(CC)	and
PRcon535_25:2	er	UH(UH)	er
PRcon535_25:3	do	VVP(VVP)	do
PRcon535_25:4	you	PP(PP)	you
PRcon535_25:5	know	VV(VV)	know
PRcon535_25:6	if	IN(IN)	if
PRcon535_25:7	he	PP(PP)	he
PRcon535_25:8	is	VBZ(VBZ)	be
PRcon535_25:9	involved	VVN(VVN)	involve
PRcon535_25:10	in	IN(IN)	in
PRcon535_25:11	this	DT(DT)	this
PRcon535_25:12	kind	NN(NN)	kind
PRcon535_25:13	of	IN(IN)	of
PRcon535_25:14	things	NNS(NNS)	thing

PRcon535_26:1	oh	UH(UH)	oh
PRcon535_26:2	he	PP(PP)	he
PRcon535_26:3	has	VHZ(VHZ)	have
PRcon535_26:4	written	VVN(VVN)	write
PRcon535_26:5	a	DT(DT)	a
PRcon535_26:6	book	NN(NN)	book
PRcon535_26:7	about	IN(IN)	about
PRcon535_26:8	the	DT(DT)	the
PRcon535_26:9	notions	NNS(NNS)	notion
PRcon535_26:10	of	IN(IN)	of
PRcon535_26:11	convexity	NN(NN)	convexity
PRcon535_26:12	so	DM(DM)	so

PRcon535_27:1	what	WP(WP)	what

PRcon535_28:1	yes	RE(RE)	yes
PRcon535_28:2	he	PP(PP)	he
PRcon535_28:3	he	PP(PP)	he
PRcon535_28:4	wrote	VVD(VVD)	write
PRcon535_28:5	you	PP(PP)	you
PRcon535_28:6	are	VBP(VBP)	be
PRcon535_28:7	you	PP(PP)	you
PRcon535_28:8	a_[lastname3]	NP(NP)	
PRcon535_28:9	and	CC(CC)	and
PRcon535_28:10	a_[lastname4]	NP(NP)	
PRcon535_28:11	wrote	VVD(VVD)	write

PRcon535_29:1	yeah	RE(RE)	yeah

PRcon535_30:1	n-	XX(XX)	
PRcon535_30:2	no	RE(RE)	no
PRcon535_30:3	no	RE(RE)	no
PRcon535_30:4	no	RE(RE)	no
PRcon535_30:5	no	RE(RE)	no
PRcon535_30:6	a_[LASTNAME5]	NP(NP)	
PRcon535_30:7	_0	PA(PA)	
PRcon535_30:8	a_[lastname5]	NP(NP)	
PRcon535_30:9	_0	PA(PA)	

PRcon535_31:1	a_[lastname5]	NP(NP)	
PRcon535_31:2	a_[lastname3]	NP(NP)	
PRcon535_31:3	and	CC(CC)	and
PRcon535_31:4	a_[lastname4]	NP(NP)	
PRcon535_31:5	_0	PA(PA)	

PRcon535_32:1	no	RE(RE)	no
PRcon535_32:2	no	RE(RE)	no
PRcon535_32:3	a_[lastname5]	NP(NP)	
PRcon535_32:4	a_[lastname3]	NP(NP)	
PRcon535_32:5	and	CC(CC)	and
PRcon535_32:6	me	PP(PP)	i
PRcon535_32:7	@	LA(LA)	

PRcon535_33:1	ah	UH(UH)	ah

PRcon535_34:1	@@	LA(LA)	
PRcon535_34:2	@@	LA(LA)	
PRcon535_34:3	@@@@@	LA(LA)	
PRcon535_34:4	@@@@@@@@	LA(LA)	

PRcon535_35:1	the	DT(DT)	the
PRcon535_35:2	okay	RE(RE)	okay
PRcon535_35:3	yeah	RE(RE)	yeah
PRcon535_35:4	okay	RE(RE)	okay

PRcon535_36:1	hh	BR(BR)	
PRcon535_36:2	i	PP(PP)	i
PRcon535_36:3	did	VVD(VVD)	do
PRcon535_36:4	it	PP(PP)	it
PRcon535_36:5	@@	LA(LA)	

PRcon535_37:1	@@@	LA(LA)	

PRcon535_38:1	almost	RB(RB)	almost
PRcon535_38:2	@@@	LA(LA)	

