POwgd510_1:1	now	RB(RB)	now
POwgd510_1:2	the	DT(DT)	the
POwgd510_1:3	question	NN(NN)	question
POwgd510_1:4	_0	PA(PA)	
POwgd510_1:5	some	DT(DT)	some
POwgd510_1:6	of	IN(IN)	of
POwgd510_1:7	you	PP(PP)	you
POwgd510_1:8	_0	PA(PA)	
POwgd510_1:9	may	MD(MD)	may
POwgd510_1:10	already	RB(RB)	already
POwgd510_1:11	have	VHP(VHP)	have
POwgd510_1:12	seen	VVN(VVN)	see
POwgd510_1:13	it	PP(PP)	it
POwgd510_1:14	_0	PA(PA)	
POwgd510_1:15	that	DT(DT)	that
POwgd510_1:16	's	VBS(VBS)	be
POwgd510_1:17	the	DT(DT)	the
POwgd510_1:18	first	JJ(JJ)	first
POwgd510_1:19	one	NN(NN)	one
POwgd510_1:20	we	PP(PP)	we
POwgd510_1:21	have	VHP(VHP)	have
POwgd510_1:22	three	CD(CD)	three
POwgd510_1:23	questions	NNS(NNS)	question
POwgd510_1:24	_0	PA(PA)	
POwgd510_1:25	erm	UH(UH)	erm
POwgd510_1:26	_0	PA(PA)	
POwgd510_1:27	concerning	IN(IN)	concerning
POwgd510_1:28	the	DT(DT)	the
POwgd510_1:29	work	NN(NN)	work
POwgd510_1:30	of	IN(IN)	of
POwgd510_1:31	s_ngos	NNS(NNS)	s_ngos
POwgd510_1:32	_0	PA(PA)	
POwgd510_1:33	how	WRB(WRB)	how
POwgd510_1:34	can	MD(MD)	can
POwgd510_1:35	youth	NN(NN)	youth
POwgd510_1:36	participation	NN(NN)	participation
POwgd510_1:37	in	IN(IN)	in
POwgd510_1:38	the	DT(DT)	the
POwgd510_1:39	political	JJ(JJ)	political
POwgd510_1:40	decision-making	VVG(NN)	decision-make/decision-making
POwgd510_1:41	process	NN(NN)	process
POwgd510_1:42	be	VB(VB)	be
POwgd510_1:43	assured	VVN(VVN)	assure
POwgd510_1:44	_1	PA(PA)	
POwgd510_1:45	so	DM(DM)	so
POwgd510_1:46	what	WP(WP)	what
POwgd510_1:47	can	MD(MD)	can
POwgd510_1:48	s_ngos	NNS(NNS)	s_ngos
POwgd510_1:49	contribute	VV(VV)	contribute
POwgd510_1:50	_0	PA(PA)	
POwgd510_1:51	in	IN(IN)	in
POwgd510_1:52	a	DT(DT)	a
POwgd510_1:53	more	RBR(RBR)	more
POwgd510_1:54	_0	PA(PA)	
POwgd510_1:55	er	UH(UH)	er
POwgd510_1:56	general	JJ(JJ)	general
POwgd510_1:57	way	NN(NN)	way
POwgd510_1:58	_0	PA(PA)	
POwgd510_1:59	to	TO(TO)	to
POwgd510_1:60	er	UH(UH)	er
POwgd510_1:61	foster	VV(VV)	foster
POwgd510_1:62	and	CC(CC)	and
POwgd510_1:63	to	TO(TO)	to
POwgd510_1:64	facilitate	VV(VV)	facilitate
POwgd510_1:65	political	JJ(JJ)	political
POwgd510_1:66	er	UH(UH)	er
POwgd510_1:67	er	UH(UH)	er
POwgd510_1:68	participation	NN(NN)	participation
POwgd510_1:69	among	IN(IN)	among
POwgd510_1:70	youth	NN(NN)	youth
POwgd510_1:71	in	IN(IN)	in
POwgd510_1:72	_1	PA(PA)	
POwgd510_1:73	the	DT(DT)	the
POwgd510_1:74	decision-making	VVG(NN)	decision-make/decision-making
POwgd510_1:75	process	NN(NN)	process
POwgd510_1:76	_0	PA(PA)	
POwgd510_1:77	so	DM(DM)	so
POwgd510_1:78	this	DT(DT)	this
POwgd510_1:79	is	VBZ(VBZ)	be
POwgd510_1:80	re-	XX(XX)	
POwgd510_1:81	er	UH(UH)	er
POwgd510_1:82	strict	JJ(JJ)	strict
POwgd510_1:83	non-governmental	JJ(JJ)	non-governmental
POwgd510_1:84	just	RB(RB)	just
POwgd510_1:85	er	UH(UH)	er
POwgd510_1:86	general	JJ(JJ)	general
POwgd510_1:87	thoughts	NNS(NNS)	thought
POwgd510_1:88	_0	PA(PA)	
POwgd510_1:89	i	PP(PP)	i
POwgd510_1:90	think	VVP(VVP)	think
POwgd510_1:91	we	PP(PP)	we
POwgd510_1:92	have	VHP(VHP)	have
POwgd510_1:93	to	TO(TO)	to
POwgd510_1:94	_0	PA(PA)	
POwgd510_1:95	have	VHP(VHP)	have
POwgd510_1:96	to	TO(TO)	to
POwgd510_1:97	er	UH(UH)	er
POwgd510_1:98	close	VV(VV)	close
POwgd510_1:99	up	RP(RP)	up
POwgd510_1:100	with	IN(IN)	with
POwgd510_1:101	the	DT(DT)	the
POwgd510_1:102	topic	NN(NN)	topic
POwgd510_1:103	so	DM(DM)	so
POwgd510_1:104	just	RB(RB)	just
POwgd510_1:105	make	VV(VV)	make
POwgd510_1:106	general	JJ(JJ)	general
POwgd510_1:107	thoughts	NNS(NNS)	thought
POwgd510_1:108	for	IN(IN)	for
POwgd510_1:109	about	RB(RB)	about
POwgd510_1:110	fifteen	CD(CD)	fifteen
POwgd510_1:111	minutes	NNS(NNS)	minute
POwgd510_1:112	_0	PA(PA)	
POwgd510_1:113	and	CC(CC)	and
POwgd510_1:114	we	PP(PP)	we
POwgd510_1:115	'll	MD(MD)	will
POwgd510_1:116	we	PP(PP)	we
POwgd510_1:117	'll	MD(MD)	will
POwgd510_1:118	become	VV(VV)	become
POwgd510_1:119	er	UH(UH)	er
POwgd510_1:120	so	DM(DM)	so
POwgd510_1:121	we	PP(PP)	we
POwgd510_1:122	get	VVP(VVP)	get
POwgd510_1:123	more	RBR(RBR)	more
POwgd510_1:124	specific	JJ(JJ)	specific
POwgd510_1:125	later	RBR(RBR)	late
POwgd510_1:126	so	DM(DM)	so
POwgd510_1:127	_0	PA(PA)	
POwgd510_1:128	this	DT(DT)	this
POwgd510_1:129	is	VBZ(VBZ)	be
POwgd510_1:130	just	RB(RB)	just
POwgd510_1:131	_1	PA(PA)	
POwgd510_1:132	brainstorm	VV(VV)	brainstorm
POwgd510_1:133	_0	PA(PA)	
POwgd510_1:134	describe	VV(VV)	describe
POwgd510_1:135	everything	NN(NN)	everything
POwgd510_1:136	that	PRE(PRE)	that
POwgd510_1:137	comes	VVZ(VVZ)	come
POwgd510_1:138	into	IN(IN)	into
POwgd510_1:139	your	PP$(PP$)	you
POwgd510_1:140	head	NN(NN)	head
POwgd510_1:141	_1	PA(PA)	

POwgd510_2:1	if	IN(IN)	if
POwgd510_2:2	there	EX(EX)	there
POwgd510_2:3	are	VBP(VBP)	be
POwgd510_2:4	any	DT(DT)	any
POwgd510_2:5	questions	NNS(NNS)	question
POwgd510_2:6	just	RB(RB)	just
POwgd510_2:7	er	UH(UH)	er
POwgd510_2:8	_0	PA(PA)	

POwgd510_3:1	x	UNI(UNI)	

POwgd510_4:1	ask	VV(VV)	ask
POwgd510_4:2	us	PP(PP)	we
POwgd510_4:3	any	DT(DT)	any
POwgd510_4:4	time	NN(NN)	time
POwgd510_4:5	we	PP(PP)	we
POwgd510_4:6	are	VBP(VBP)	be
POwgd510_4:7	around	RB(RB)	around

POwgd510_5:1	mhm	RE(RE)	mhm

POwgd510_6:1	and	CC(CC)	and
POwgd510_6:2	we	PP(PP)	we
POwgd510_6:3	let	VVP(VVP)	let
POwgd510_6:4	us	PP(PP)	we
POwgd510_6:5	_0	PA(PA)	
POwgd510_6:6	let	VVP(VVP)	let
POwgd510_6:7	you	PP(PP)	you
POwgd510_6:8	when	WRB(WRB)	when
POwgd510_6:9	the	DT(DT)	the
POwgd510_6:10	time	NN(NN)	time
POwgd510_6:11	for	IN(IN)	for
POwgd510_6:12	the	DT(DT)	the
POwgd510_6:13	first	JJ(JJ)	first
POwgd510_6:14	round	NN(NN)	round
POwgd510_6:15	is	VBZ(VBZ)	be
POwgd510_6:16	over	RB(RB)	over
POwgd510_6:17	x	UNI(UNI)	

POwgd510_7:1	yeah	RE(RE)	yeah

POwgd510_8:1	mhm	RE(RE)	mhm

POwgd510_9:1	we	PP(PP)	we
POwgd510_9:2	're	VBP(VBP)	be
POwgd510_9:3	actually	RB(RB)	actually
POwgd510_9:4	a	DT(DT)	a
POwgd510_9:5	very	RB(RB)	very
POwgd510_9:6	good	JJ(JJ)	good
POwgd510_9:7	group	NN(NN)	group
POwgd510_9:8	_0	PA(PA)	
POwgd510_9:9	i	PP(PP)	i
POwgd510_9:10	just	RB(RB)	just
POwgd510_9:11	notice	VVP(VVP)	notice

POwgd510_10:1	@@	LA(LA)	

POwgd510_11:1	@@@@@	LA(LA)	

POwgd510_12:1	from	IN(IN)	from
POwgd510_12:2	from	IN(IN)	from
POwgd510_12:3	various	JJ(JJ)	various

POwgd510_13:1	hm	RE(RE)	hm

POwgd510_14:1	various	JJ(JJ)	various
POwgd510_14:2	places	NNS(NNS)	place
POwgd510_14:3	_0	PA(PA)	

POwgd510_15:1	if	IN(IN)	if
POwgd510_15:2	i	PP(PP)	i
POwgd510_15:3	x	UNI(UNI)	
POwgd510_15:4	x	UNI(UNI)	
POwgd510_15:5	x	UNI(UNI)	
POwgd510_15:6	x	UNI(UNI)	
POwgd510_15:7	x	UNI(UNI)	
POwgd510_15:8	xxxx	UNI(UNI)	
POwgd510_15:9	x	UNI(UNI)	
POwgd510_15:10	_0	PA(PA)	
POwgd510_15:11	for	IN(IN)	for
POwgd510_15:12	that	DT(DT)	that

POwgd510_16:1	mhm	RE(RE)	mhm

POwgd510_17:1	er	UH(UH)	er
POwgd510_17:2	in	IN(IN)	in
POwgd510_17:3	what	WDT(WDT)	what
POwgd510_17:4	in	IN(IN)	in
POwgd510_17:5	which	WDT(WDT)	which
POwgd510_17:6	way	NN(NN)	way
POwgd510_17:7	can	MD(MD)	can
POwgd510_17:8	s_ngos	NNS(NNS)	s_ngos
POwgd510_17:9	contribute	VV(VV)	contribute
POwgd510_17:10	_1	PA(PA)	
POwgd510_17:11	to	TO(TO)	to
POwgd510_17:12	erm	UH(UH)	erm
POwgd510_17:13	facilitate	VV(VV)	facilitate
POwgd510_17:14	_0	PA(PA)	
POwgd510_17:15	youth	NN(NN)	youth
POwgd510_17:16	participation	NN(NN)	participation
POwgd510_17:17	_0	PA(PA)	
POwgd510_17:18	in	IN(IN)	in
POwgd510_17:19	the	DT(DT)	the
POwgd510_17:20	political	JJ(JJ)	political
POwgd510_17:21	decision-making	VVG(NN)	decision-make/decision-making
POwgd510_17:22	process	NN(NN)	process

POwgd510_18:1	ah	UH(UH)	ah
POwgd510_18:2	_1	PA(PA)	

POwgd510_19:1	okay	RE(RE)	okay
POwgd510_19:2	_0	PA(PA)	

POwgd510_20:1	so	DM(DM)	so
POwgd510_20:2	it	PP(PP)	it
POwgd510_20:3	's	VBS(VBS)	be
POwgd510_20:4	the	DT(DT)	the
POwgd510_20:5	s_ngos	NNS(NNS)	s_ngos

POwgd510_21:1	any	DT(DT)	any
POwgd510_21:2	other	JJ(JJ)	other
POwgd510_21:3	questions	NNS(NNS)	question
POwgd510_21:4	i	PP(PP)	i
POwgd510_21:5	'll	MD(MD)	will
POwgd510_21:6	do	VV(VV)	do
POwgd510_21:7	my	PP$(PP$)	i
POwgd510_21:8	best	NN(NN)	best
POwgd510_21:9	_4	PA(PA)	

