POmtg404_1:1	okay	RE(RE)	okay
POmtg404_1:2	_0	PA(PA)	
POmtg404_1:3	i	PP(PP)	i
POmtg404_1:4	think	VVP(VVP)	think
POmtg404_1:5	we	PP(PP)	we
POmtg404_1:6	can	MD(MD)	can
POmtg404_1:7	all	DT(DT)	all
POmtg404_1:8	_1	PA(PA)	

POmtg404_2:1	sorry	FI(FI)	sorry

POmtg404_3:1	take	VV(VV)	take
POmtg404_3:2	our	PP$(PP$)	we
POmtg404_3:3	seats	NNS(NNS)	seat
POmtg404_3:4	now	RB(RB)	now
POmtg404_3:5	_16	PA(PA)	
POmtg404_3:6	yes	RE(RE)	yes
POmtg404_3:7	_15	PA(PA)	
POmtg404_3:8	so	DM(DM)	so
POmtg404_3:9	_0	PA(PA)	
POmtg404_3:10	_0	PA(PA)	
POmtg404_3:11	welcome	FI(FI)	welcome
POmtg404_3:12	to	IN(IN)	to
POmtg404_3:13	you	PP(PP)	you
POmtg404_3:14	all	DT(DT)	all
POmtg404_3:15	_1	PA(PA)	
POmtg404_3:16	and	CC(CC)	and
POmtg404_3:17	er	UH(UH)	er
POmtg404_3:18	_0	PA(PA)	
POmtg404_3:19	we	PP(PP)	we
POmtg404_3:20	only	RB(RB)	only
POmtg404_3:21	miss	VVP(VVP)	miss
POmtg404_3:22	er	UH(UH)	er
POmtg404_3:23	a_[firstname1]	NP(NP)	
POmtg404_3:24	a_[lastname1]	NP(NP)	
POmtg404_3:25	_1	PA(PA)	
POmtg404_3:26	but	CC(CC)	but
POmtg404_3:27	_2	PA(PA)	
POmtg404_3:28	i	PP(PP)	i
POmtg404_3:29	can	MD(MD)	can
POmtg404_3:30	tell	VV(VV)	tell
POmtg404_3:31	you	PP(PP)	you
POmtg404_3:32	that	IN(IN)	that
POmtg404_3:33	due	IN(IN)	due
POmtg404_3:34	to	IN(IN)	to
POmtg404_3:35	his	PP$(PP$)	he
POmtg404_3:36	many	JJ(JJ)	many
POmtg404_3:37	commitments	NNS(NNS)	commitment
POmtg404_3:38	he	PP(PP)	he
POmtg404_3:39	ac-	XX(XX)	
POmtg404_3:40	he	PP(PP)	he
POmtg404_3:41	is	VBZ(VBZ)	be
POmtg404_3:42	actually	RB(RB)	actually
POmtg404_3:43	quite	RB(RB)	quite
POmtg404_3:44	often	RB(RB)	often
POmtg404_3:45	a	DT(DT)	a
