EDsed301_1:1	excuse	FI(FI)	excuse
EDsed301_1:2	me	FI(FI)	i
EDsed301_1:3	cou-	XX(XX)	
EDsed301_1:4	could	MD(MD)	can
EDsed301_1:5	we	PP(PP)	we
EDsed301_1:6	talk	VV(VV)	talk
EDsed301_1:7	about	IN(IN)	about
EDsed301_1:8	the	DT(DT)	the
EDsed301_1:9	tests	NNS(NNS)	test
EDsed301_1:10	_0	PA(PA)	

EDsed301_2:1	can	MD(MD)	can
EDsed301_2:2	we	PP(PP)	we
EDsed301_2:3	do	VV(VV)	do
EDsed301_2:4	that	DT(DT)	that
EDsed301_2:5	tomorrow	RB(RB)	tomorrow
EDsed301_2:6	_0	PA(PA)	

EDsed301_3:1	tomorrow	RB(RB)	tomorrow
EDsed301_3:2	_0	PA(PA)	
EDsed301_3:3	okay	RE(RE)	okay
EDsed301_3:4	yeah	RE(RE)	yeah
EDsed301_3:5	_0	PA(PA)	
EDsed301_3:6	erm	UH(UH)	erm
EDsed301_3:7	_3	PA(PA)	

EDsed301_4:1	erm	UH(UH)	erm
EDsed301_4:2	_2	PA(PA)	
EDsed301_4:3	there	EX(EX)	there
EDsed301_4:4	're	VBP(VBP)	be
EDsed301_4:5	two	CD(CD)	two
EDsed301_4:6	reasons	NNS(NNS)	reason
EDsed301_4:7	for	IN(IN)	for
EDsed301_4:8	that	DT(DT)	that
EDsed301_4:9	@@@	LA(LA)	
EDsed301_4:10	er	UH(UH)	er
EDsed301_4:11	one	CD(CD)	one
EDsed301_4:12	reason	NN(NN)	reason
EDsed301_4:13	is	VBZ(VBZ)	be
EDsed301_4:14	that	IN(IN)	that
EDsed301_4:15	that	IN(IN)	that
EDsed301_4:16	i	PP(PP)	i
EDsed301_4:17	do	VVP(VVP)	do
EDsed301_4:18	n't	RB(RB)	not
EDsed301_4:19	wan	VV(VV)	want
EDsed301_4:20	na	TO(TO)	to
EDsed301_4:21	keep	VV(VV)	keep
EDsed301_4:22	spo-	XX(XX)	
EDsed301_4:23	er	UH(UH)	er
EDsed301_4:24	speaking	VVG(VVG)	speak
EDsed301_4:25	now	RB(RB)	now
EDsed301_4:26	all	PDT(PDT)	all
EDsed301_4:27	the	DT(DT)	the
EDsed301_4:28	time	NN(NN)	time
EDsed301_4:29	because	IN(IN)	because
EDsed301_4:30	we	PP(PP)	we
EDsed301_4:31	have	VHP(VHP)	have
EDsed301_4:32	our	PP$(PP$)	we
EDsed301_4:33	two	CD(CD)	two
EDsed301_4:34	_0	PA(PA)	
EDsed301_4:35	linguistic	JJ(JJ)	linguistic
