PRint595_1:1	may	MD(MD)	may
PRint595_1:2	i	PP(PP)	i
PRint595_1:3	just	RB(RB)	just
PRint595_1:4	disturb	VV(VV)	disturb
PRint595_1:5	you	PP(PP)	you
PRint595_1:6	for	IN(IN)	for
PRint595_1:7	a	DT(DT)	a
PRint595_1:8	few	JJ(JJ)	few
PRint595_1:9	seconds	NNS(NNS)	second
PRint595_1:10	_1	PA(PA)	
PRint595_1:11	do	VVP(VVP)	do
PRint595_1:12	you	PP(PP)	you
PRint595_1:13	mind	VV(VV)	mind
PRint595_1:14	_0	PA(PA)	

PRint595_2:1	yeah	RE(RE)	yeah

PRint595_3:1	no	RE(RE)	no
PRint595_3:2	_0	PA(PA)	
PRint595_3:3	no	RE(RE)	no

PRint595_4:1	no	RE(RE)	no
PRint595_4:2	_1	PA(PA)	

PRint595_5:1	how	WRB(WRB)	how
PRint595_5:2	much	JJ(JJ)	much
PRint595_5:3	question	NN(NNS)	question
PRint595_5:4	do	VVP(VVP)	do
PRint595_5:5	you	PP(PP)	you
PRint595_5:6	have	VH(VH)	have
PRint595_5:7	to	IN(IN)	to

PRint595_6:1	@@@	LA(LA)	

PRint595_7:1	how	WRB(WRB)	how
PRint595_7:2	many	JJ(JJ)	many

PRint595_8:1	@@@@@	LA(LA)	

PRint595_9:1	i	PP(PP)	i
PRint595_9:2	do	VVP(VVP)	do
PRint595_9:3	n't	RB(RB)	not
PRint595_9:4	have	VH(VH)	have
PRint595_9:5	any	DT(DT)	any
PRint595_9:6	specific	JJ(JJ)	specific
PRint595_9:7	questions	NNS(NNS)	question
PRint595_9:8	so	DM(DM)	so
PRint595_9:9	if	IN(IN)	if
PRint595_9:10	you	PP(PP)	you
PRint595_9:11	're	VBP(VBP)	be
PRint595_9:12	fed	JJ(JJ)	fed
PRint595_9:13	up	JJ(JJ)	up
PRint595_9:14	or	CC(CC)	or
PRint595_9:15	say	VVP(VVP)	say
PRint595_9:16	that	DT(DT)	that
PRint595_9:17	's	VBS(VBS)	be
PRint595_9:18	enough	JJ(JJ)	enough
PRint595_9:19	@	LA(LA)	

PRint595_10:1	depends	VVZ(VVZ)	depend

PRint595_11:1	right	DM(DM)	right

PRint595_12:1	@@	LA(LA)	

PRint595_13:1	i	PP(PP)	i
PRint595_13:2	will	MD(MD)	will
PRint595_13:3	just	RB(RB)	just
PRint595_13:4	stop	VV(VV)	stop

PRint595_14:1	okay	RE(RE)	okay
PRint595_14:2	_0	PA(PA)	

PRint595_15:1	xx	UNI(UNI)	
PRint595_15:2	_0	PA(PA)	
PRint595_15:3	one	CD(CD)	one
PRint595_15:4	thing	NN(NN)	thing
PRint595_15:5	i	PP(PP)	i
PRint595_15:6	've	VHP(VHP)	have
PRint595_15:7	been	VBN(VBN)	be
PRint595_15:8	very	RB(RB)	very
PRint595_15:9	worried	JJ(JJ)	worried
PRint595_15:10	about	IN(IN)	about
PRint595_15:11	is	VBZ(VBZ)	be
PRint595_15:12	that	IN(IN)	that
PRint595_15:13	my	PP$(PP$)	i
PRint595_15:14	english	NP(NP)	english
PRint595_15:15	is	VBZ(VBZ)	be
PRint595_15:16	not	RB(RB)	not
PRint595_15:17	good	JJ(JJ)	good
PRint595_15:18	enough	RB(RB)	enough
PRint595_15:19	to	TO(TO)	to
PRint595_15:20	answer	VV(VV)	answer
PRint595_15:21	some	DT(DT)	some
PRint595_15:22	very	RB(RB)	very
PRint595_15:23	complex	JJ(JJ)	complex
PRint595_15:24	questions	NNS(NNS)	question

PRint595_16:1	question	NN(NN)	question
PRint595_16:2	@@	LA(LA)	
PRint595_16:3	_0	PA(PA)	

PRint595_17:1	@@	LA(LA)	

PRint595_18:1	oh	UH(UH)	oh
PRint595_18:2	no	RE(RE)	no
PRint595_18:3	come	VV(VV)	come
PRint595_18:4	on	RP(RP)	on
PRint595_18:5	no	RE(RE)	no
PRint595_18:6	come	VV(VV)	come
PRint595_18:7	on	RP(RP)	on
PRint595_18:8	_0	PA(PA)	

PRint595_19:1	@@	LA(LA)	

PRint595_20:1	where	WRB(WRB)	where
PRint595_20:2	you	PP(PP)	you
