PRpan13_1:1	welcome	FI(FI)	welcome
PRpan13_1:2	all	DT(DT)	all
PRpan13_1:3	of	IN(IN)	of
PRpan13_1:4	you	PP(PP)	you
PRpan13_1:5	thank	FI(FI)	thank
PRpan13_1:6	you	FI(FI)	you
PRpan13_1:7	very	RB(RB)	very
PRpan13_1:8	much	RB(RB)	much
PRpan13_1:9	for	IN(IN)	for
PRpan13_1:10	coming	VVG(VVG)	come
PRpan13_1:11	_0	PA(PA)	
PRpan13_1:12	er	UH(UH)	er
PRpan13_1:13	_0	PA(PA)	
PRpan13_1:14	early	RB(RB)	early
PRpan13_1:15	_2	PA(PA)	
PRpan13_1:16	and	CC(CC)	and
PRpan13_1:17	er	UH(UH)	er
PRpan13_1:18	i	PP(PP)	i
PRpan13_1:19	would	MD(MD)	will
PRpan13_1:20	like	VV(VV)	like
PRpan13_1:21	to	TO(TO)	to
PRpan13_1:22	_0	PA(PA)	
PRpan13_1:23	not	RB(RB)	not
PRpan13_1:24	everybody	NN(NN)	everybody
PRpan13_1:25	was	VBD(VBD)	be
PRpan13_1:26	here	RB(RB)	here
PRpan13_1:27	yesterday	RB(RB)	yesterday
PRpan13_1:28	_0	PA(PA)	
PRpan13_1:29	just	RB(RB)	just
PRpan13_1:30	er	UH(UH)	er
PRpan13_1:31	tell	VV(VV)	tell
PRpan13_1:32	you	PP(PP)	you
PRpan13_1:33	that	IN(IN)	that
PRpan13_1:34	yesterday	RB(RB)	yesterday
PRpan13_1:35	we	PP(PP)	we
PRpan13_1:36	had	VHD(VHD)	have
PRpan13_1:37	a	DT(DT)	a
PRpan13_1:38	_2	PA(PA)	
PRpan13_1:39	very	RB(RB)	very
PRpan13_1:40	interesting	JJ(JJ)	interesting
PRpan13_1:41	_0	PA(PA)	
PRpan13_1:42	er	UH(UH)	er
PRpan13_1:43	insights	NNS(NNS)	insight
PRpan13_1:44	into	IN(IN)	into
PRpan13_1:45	different	JJ(JJ)	different
PRpan13_1:46	countries	NNS(NNS)	country
PRpan13_1:47	_2	PA(PA)	
PRpan13_1:48	from	IN(IN)	from
PRpan13_1:49	countries	NNS(NNS)	country
PRpan13_1:50	who	PRE(PRE)	who
PRpan13_1:51	were	VBD(VBD)	be
PRpan13_1:52	_0	PA(PA)	
PRpan13_1:53	er	UH(UH)	er
PRpan13_1:54	here	RB(RB)	here
PRpan13_1:55	at	IN(IN)	at
