POmtg447_1:1	first	RB(RB)	first
POmtg447_1:2	there	EX(EX)	there
POmtg447_1:3	are	VBP(VBP)	be
POmtg447_1:4	enough	JJ(JJ)	enough
POmtg447_1:5	organizations	NNS(NNS)	organization
POmtg447_1:6	_0	PA(PA)	
POmtg447_1:7	so	DM(DM)	so
POmtg447_1:8	the	DT(DT)	the
POmtg447_1:9	infrastructures	NNS(NNS)	infrastructure
POmtg447_1:10	_0	PA(PA)	
POmtg447_1:11	the	DT(DT)	the
POmtg447_1:12	infrastructure	NN(NN)	infrastructure
POmtg447_1:13	is	VBZ(VBZ)	be
POmtg447_1:14	here	RB(RB)	here
POmtg447_1:15	_0	PA(PA)	
POmtg447_1:16	you	PP(DM)	you
POmtg447_1:17	know	VVP(DM)	know
POmtg447_1:18	_0	PA(PA)	
POmtg447_1:19	and	CC(CC)	and
POmtg447_1:20	we	PP(PP)	we
POmtg447_1:21	have	VHP(VHP)	have
POmtg447_1:22	also	RB(RB)	also
POmtg447_1:23	enough	JJ(JJ)	enough
POmtg447_1:24	flights	NNS(NNS)	flight
POmtg447_1:25	and	CC(CC)	and
POmtg447_1:26	people	NNS(NNS)	people
POmtg447_1:27	interested	JJ(JJ)	interested
POmtg447_1:28	in	IN(IN)	in
POmtg447_1:29	translations	NNS(NNS)	translation
POmtg447_1:30	and	CC(CC)	and
POmtg447_1:31	this	DT(DT)	this
POmtg447_1:32	kind	NN(NN)	kind
POmtg447_1:33	of	IN(IN)	of
POmtg447_1:34	_0	PA(PA)	

POmtg447_2:1	yeah	RE(RE)	yeah

POmtg447_3:1	you	PP(DM)	you
POmtg447_3:2	know	VVP(DM)	know

POmtg447_4:1	yeah	RE(RE)	yeah

POmtg447_5:1	mhm	RE(RE)	mhm

POmtg447_6:1	so	DM(DM)	so
POmtg447_6:2	the	DT(DT)	the
POmtg447_6:3	_0	PA(PA)	
POmtg447_6:4	so	DM(DM)	so
POmtg447_6:5	at	IN(IN)	at
POmtg447_6:6	the	DT(DT)	the
